1.873871,1.866772,4.520418,10,3
59.579758,1.491027,2.270734,20,4
5.816352,4.540732,15.057540,40,1
7.247034,8.580909,14.734406,30,4
9.917442,10.843153,19.638714,60,0
19.643862,10.293522,15.127270,30,4
15.126320,10.143743,18.667043,60,0
21.419513,10.053498,15.170198,30,2
34.486338,10.188648,8.669586,30,0
32.497459,10.702204,5.707575,15,3
35.835256,10.863936,4.786357,25,1
23.733088,10.207410,6.125477,15,3
5.864106,8.676051,9.558546,25,3
9.495157,6.901685,12.403463,35,2
7.401569,9.775699,15.321561,35,2
10.716529,10.941873,13.157866,35,2
15.604768,11.101011,11.221293,35,2
14.082686,11.698447,11.760252,35,1
12.574485,11.160504,9.652547,25,2
11.752259,10.892482,8.908565,25,2
6.152195,10.432992,11.081445,25,2
3.075706,10.175631,12.259851,25,2
4.422617,10.590066,11.545373,25,2
4.695035,10.621147,11.506344,25,2
3.953705,11.141140,11.945894,25,2
3.230624,11.036100,12.053642,25,3
3.731442,10.592364,15.861947,35,1
3.907660,10.913542,13.879981,25,2
7.894805,11.204514,10.312226,25,2
8.953859,11.217945,10.211356,25,2
3.162076,11.446065,12.225321,25,2
3.956908,10.664129,11.633261,25,2
4.394809,10.203265,11.683818,25,2
3.522574,11.073747,12.081096,25,3
2.837294,11.625938,16.237937,35,2
3.275635,10.893288,17.040233,35,2
10.691641,10.612996,13.077905,35,2
12.817017,10.941225,12.152852,35,2
12.989532,11.169781,12.079672,35,1
11.875872,11.501492,10.222480,25,2
12.929533,11.263807,8.612909,25,2
9.056966,11.129058,10.100783,25,3
4.793554,11.310798,15.206464,35,1
5.000000,11.278882,13.297483,25,2
10.533738,10.529111,9.158061,25,2
8.283715,10.558792,10.524658,25,2
3.113326,10.646373,12.300851,25,2
4.021893,10.398476,11.744977,25,2
4.013166,10.463591,11.778296,25,2
4.297255,10.773682,11.740509,25,2
4.243721,11.055835,11.723282,25,2
3.280696,11.003745,12.197816,25,2
3.470973,10.959725,12.180289,25,2
4.047453,11.124057,11.850412,25,3
4.599332,11.132491,15.085141,35,2
3.960646,11.458144,16.679795,35,3
10.694405,11.051491,15.735782,45,1
14.009754,10.891173,12.998955,35,1
14.941616,10.452037,9.426683,25,2
22.892736,10.505340,6.640605,25,2
9.240179,11.627814,10.714408,25,2
2.978269,11.486354,12.360063,25,2
3.389991,10.789598,12.139765,25,2
3.831651,10.714856,11.992625,25,2
4.722888,10.929391,11.545083,25,2
3.541784,11.879270,12.125928,25,2
4.553405,11.343793,11.572012,25,2
4.272127,11.036640,11.783280,25,2
4.500441,11.455225,11.664060,25,3
4.364957,11.662902,15.280373,35,2
2.563761,11.860256,17.707619,35,2
9.954713,11.638436,13.369768,35,2
12.899994,10.743972,11.958210,35,2
14.146000,10.249042,11.589084,35,1
14.095069,9.911778,9.378725,25,2
13.769714,10.906355,8.439122,25,2
9.221132,11.410804,10.103613,25,2
4.750000,11.243815,11.469425,25,2
4.736924,11.091928,11.430560,25,2
4.431904,10.993548,11.539559,25,2
3.905176,11.396750,11.935125,25,2
